atc,module_number_atc
M01AE02,2
H02AB06,0
C10AA05,4
N02BE01,2
R03AC02,0
R03BA05,0
A10BA02,4
A10BD08,4
G04BE09,4
M01AX01,2
A11CC05,4
M01AH05,2
A02BC01,2
C09BA03,4
R06AE07,2
M01AB55,2
A12AX,2
A10AD05,4
A10AB05,4
H02AB08,2
R05DA01,2
B01AC06,4
A10AC01,4
G04CA02,4
G04CA53,4
H03AA01,2
A02BC02,2
R03AK06,0
N06AA09,2
A10BD07,4
C01DA14,4
C01DA02,4
C09CA01,4
C07AB02,4
A10BK03,4
C10AA01,4
M04AA01,4
M01AE52,2
R05FA02,2
R03AK07,0
R03AK10,0
N02AX02,2
R06AX27,2
R03DC03,0
R01BA01,2
C08CA01,4
J01CE02,2
C09DA06,4
S01EC54,3
C03CA01,4
S01EC04,3
N05AX08,2
N02AJ06,2
S01EE01,3
A02BC05,2
J01CA08,2
S01ED51,3
G04BD12,2
G04BE03,4
N05CF01,2
M01AC06,2
G03CA03,2
H02AB10,2
P01AB01,2
M01AB05,2
A10BH03,4
A10BK01,4
A02BA02,2
G03CA04,2
N05CD02,2
N03AX12,2
C09AA02,4
R06AX13,2
M05BA04,2
R01AD09,2
R01AC02,2
A06AD65,2
A11EA,4
N06AB10,2
B03AA07,4
J01EE01,2
J01AA02,0
A10BB12,4
A10BH05,4
M01AE01,2
R06AX26,2
R03AC13,0
,
N04BA02,2
N02AE01,2
B03BA01,4
C10AA03,4
C07AA05,2
N03AF01,2
C09DA02,4
C07AB07,4
G04CB01,4
M01AX05,2
R01AD05,2
B01AE07,4
B01AA03,4
A10BB01,4
N07BB04,2
C07AB03,2
N06AA06,2
N05BA04,2
B01AC07,4
C09DA04,4
N03AX16,2
C03AB01,2
B01AF02,4
N05CH01,2
N05BB01,2
A04AD12,2
N06AB06,2
N02AB03,2
N05BA01,2
N03AG01,2
N03AB02,2
J01XX05,2
N05AH03,2
J01EA01,2
C10AA07,4
N05AN01,2
B03BA03,2
D01BA02,2
A09AA02,2
R05CB01,0
J01FF01,2
J01FA01,2
C03DA01,4
J01FA10,2
C09DA01,4
N04BC05,2
M01AH01,2
J01CA04,0
N06AX11,2
A10BH01,4
C10BA05,4
C08CA05,4
C07AG02,4
A10AB04,4
B01AC24,4
A10BJ02,4
J01MA02,2
J02AC01,2
M05BA08,2
G04BD08,2
C10AX09,4
A03FA01,2
N05CF02,2
A04AD01,2
L02BG03,2
R06AD01,2
L02BA01,2
N03AF02,2
J01XE01,2
C08CA13,4
C09DB01,4
C02AC05,4
A12BA02,4
B01AB01,2
A06AB02,2
N03AX09,2
C09BA02,4
C09CA06,4
B01AB04,2
A10AE06,4
A10AE05,4
C09DX01,4
A07EC02,2
N02CX02,2
A08AB01,2
A02BC03,2
H03AA02,2
N06AX03,2
M03BX01,2
C10AA04,4
A06AB08,2
R03AC03,0
R01AD12,0
B01AC04,4
N02AA05,2
A06AD11,2
N02AA55,2
C03EA01,2
G04BE08,4
R03BA02,0
R03BB04,0
A06AB58,2
G03FA12,2
C03AA03,4
B01AF01,4
C01BC04,4
N05AH04,2
N04BC04,2
A12BA01,4
S01ED01,3
N06DX01,4
N05AA02,2
N03AA02,2
A03BB01,2
G03FA01,2
C09CA04,4
P01BA02,2
J01CF01,4
L04AX03,2
B03BB01,2
V03AG05,4
L04AX02,2
L01AA03,2
N03AE01,2
M01AC01,2
G04BD07,2
A10BB07,4
R01AD58,2
B02BX05,4
N05CM02,2
N06DA03,2
C03CA02,4
A05AA02,2
C08CA02,4
L04AB04,2
G04CA52,4
C09AA03,4
N07BA03,0
B01AC30,4
R03BB05,0
M04AC01,4
C02CA04,4
A10BH02,4
C09DA07,4
L01EX01,4
A07DA03,2
L01EG02,2
R03AC12,0
M05BX04,2
J01FA09,0
L03AA13,2
C01BD07,4
S01EE04,3
R03BB01,0
R03AC18,0
G04BE01,4
N07XX07,2
A07AA02,2
R03BA01,0
L04AC07,0
N06AX12,2
R03AK08,0
N03AX22,7
N03AX14,2
C09DA03,4
R05DA07,0
N06AX16,2
R05DA20,0
N02CC04,2
C10AX06,4
A06AD17,2
C09CA03,4
L03AA02,2
L01AA01,2
L01BB05,2
N04BD02,2
N04BA03,2
L02BG04,2
J01DB01,2
H02AB02,2
A04AA01,2
N05AB03,4
N05AB04,2
N05AF03,2
C08DA01,4
C01CA24,2
G02CB03,4
L04AD02,6
L04AA06,6
C01AA05,4
R03AL03,0
M01AE03,2
N02CC01,2
L03AX03,4
R03DX07,0
A06AG11,2
B01AB05,2
L02BB03,4
B03AA01,4
G03CX01,2
C09BB02,4
N06AX21,2
G03BA03,4
C10BA02,4
H05AA02,2
S01EA05,3
L01XX05,4
C07AA07,4
C09CA08,4
A07EA06,2
C10AC02,4
N02CC06,2
H01CB02,2
L04AD01,4
A10AE04,4
G03FB05,2
N07BB01,2
C09CA02,4
N02AX06,2
C09AA05,4
R01AD08,0
C07AG01,4
S01EC03,3
N06AB04,2
N06DA02,4
H01CB03,2
L01AX03,2
H01AC01,2
J05AB11,2
R06AA09,2
R06AB02,2
L04AA24,2
R03DX05,2
N05BE01,2
R01AC01,2
H02AB04,2
R03AL06,0
M09AB02,4
H03BB01,2
J05AB01,2
N02CC03,2
D05BB02,4
N02AA01,2
C09CA07,4
C07BB07,4
A10BJ05,4
S01EE05,3
G04BD11,2
S01EB01,3
R03AK11,0
R05DA04,2
J01AA04,2
L01BC06,2
J01FA02,2
C01BD01,4
N06AB05,2
R03AL04,0
N04BX02,4
A06AX04,2
N02AJ13,2
C08DB01,4
A04AA55,2
N06AB03,2
L02AE03,4
H01BA02,2
J05AR03,2
R03BA08,0
R01AD11,2
L01BC52,4
G04BE10,4
L04AX01,0
G04BE30,4
R03AL05,0
A12CA01,2
N02AB01,2
N03AX11,2
S01EC01,3
A10AE56,4
A10BG03,4
S01ED02,3
A03AX13,2
A10BD15,4
A02BX02,2
J01MA01,4
J01AA07,2
A02AH,4
M01AB01,2
L02BB04,4
L04AA13,2
L04AB05,2
C09AA04,4
G04BX15,2
R03BB07,0
A03BA03,0
D10BA01,0
H04AA01,4
C09DA08,4
N05AE04,2
R06AX22,2
A10BJ01,4
R05CB02,0
G01AA10,2
G01AC05,2
R05DA03,2
A06AG10,2
N04AA02,2
N05AA01,2
N05AH02,2
C10AA02,4
S01EE03,3
A07EC01,2
A12CC30,4
A06AC01,2
N05AF01,2
C01DA08,4
M01CB03,2
N06BC01,2
N02AB02,2
A10BD10,4
A02BX13,0
A11CC04,4
M05BA06,2
N07BC01,0
R01AX03,2
H03AA05,2
R03CC03,0
A01AA01,7
R03DA04,0
N04BD01,4
N06AA04,2
C10AC01,2
A11DA01,2
R03CA02,0
G04BD10,2
C09DB02,2
L03AA14,2
N05AD01,2
P01BC02,4
N06AA10,2
L04AC03,4
P01BB51,4
M04AB01,4
N02BA01,2
B03XA02,4
V03AE02,4
C02DC01,6
A10BD11,4
H02AB09,2
N07AA02,2
N05AX12,2
L03AX13,2
N05AF05,7
N05AE03,7
A02BB01,2
A07FA02,2
A11EX,4
H05BX02,6
N05CD08,7
N05BA12,2
N02CC02,2
G01AF01,2
H02AB01,2
N02BB51,2
M01AG02,2
N06AX26,2
A07DA53,2
C10AC04,4
R03BB06,0
B01AF03,4
N02AG02,2
G01AF02,2
G03DA04,2
J05AE03,2
L04AX04,2
L02BX02,4
N04BC07,2
J04AB02,0
J04AK02,0
N02CA52,
L01XK01,2
N06BA04,0
H05BX01,6
A11CC03,4
V03AE03,4
A01AB03,2
G04BD04,2
N03AX23,4
N03AX18,7
R06AE03,2
N06AG02,2
R01AA05,2
N05AL05,2
R06AD02,2
A06AB06,2
L04AB01,2
B02AA02,2
H03BA02,0
L01BB02,2
H02AA02,2
L01EE01,2
R06AE09,2
L01EX02,2
N03AA03,2
R03AL09,0
L02BG06,2
A11EB,4
A07AA09,2
A07DA02,2
L04AA18,4
L04AB06,2
N02CC05,2
N04BC09,2
B03AC,2
A06AG02,2
P01BC01,2
N07BA01,0
N06AA12,2
C09AA01,4
A10BF01,4
A10AD04,4
S01EA03,3
C09DX04,4
A10BX02,4
C02AB01,4
C10AX13,4
M04AA03,4
N03AF04,0
V03AE01,6
C09XA02,4
G03XC01,2
A10BJ03,4
R03BA07,2
N07CA01,2
N02CA72,2
L01AD02,5
L01XB01,2
C02DB02,4
M03BX02,4
L02BA03,2
B01AC05,4
C02KX01,4
C03DA04,4
J01CA01,4
B03XA01,4
L04AX05,0
N05CD03,2
A10BJ06,4
G03DA02,2
B06AC01,1
M01AE14,2
R03CC02,0
A10AB01,4
L04AA27,2
A12AA06,4
N06AX18,2
R03AL08,0
A10BD20,4
R06AE05,2
N07BB03,4
C08CA03,0
N03AX15,4
B01AC22,4
J05AB14,4
N05AX13,2
D11AH04,2
N07XX02,0
A06AH01,0
R03AC19,0
